province,health_region,date_report,cases,cumulative_cases,deaths,cumulative_deaths,numtotal_last14,numdeaths_last14,numtotal_last7,numdeaths_last7,avgtotal_last7,avgdeaths_last7
Alberta,South,2022-03-13,0.0,34248.0,0.0,352.0,668.0,15.0,282.0,7.0,40.285714285714285,1.0
BC,Fraser,2022-03-07,263.0,157643.0,6.0,1314.0,1611.0,41.0,634.0,14.0,90.57142857142857,2.0
BC,Fraser,2022-03-08,-19.0,157624.0,1.0,1315.0,1166.0,31.0,514.0,15.0,73.42857142857143,2.142857142857143
BC,Fraser,2022-03-09,48.0,157672.0,6.0,1321.0,1105.0,37.0,451.0,19.0,64.42857142857143,2.7142857142857144
BC,Fraser,2022-03-10,65.0,157737.0,2.0,1323.0,1052.0,38.0,428.0,17.0,61.142857142857146,2.4285714285714284
BC,Fraser,2022-03-11,71.0,157808.0,3.0,1326.0,1029.0,31.0,428.0,18.0,61.142857142857146,2.5714285714285716
BC,Fraser,2022-03-12,0.0,157808.0,0.0,1326.0,1029.0,31.0,428.0,18.0,61.142857142857146,2.5714285714285716
BC,Fraser,2022-03-13,0.0,157808.0,0.0,1326.0,1029.0,31.0,428.0,18.0,61.142857142857146,2.5714285714285716
BC,Interior,2022-03-07,242.0,60711.0,3.0,361.0,2407.0,20.0,753.0,8.0,107.57142857142857,1.1428571428571428
BC,Interior,2022-03-08,131.0,60842.0,0.0,361.0,1878.0,13.0,691.0,8.0,98.71428571428571,1.1428571428571428
BC,Interior,2022-03-09,84.0,60926.0,0.0,361.0,1682.0,13.0,670.0,6.0,95.71428571428571,0.8571428571428571
BC,Interior,2022-03-10,115.0,61041.0,1.0,362.0,1603.0,12.0,685.0,4.0,97.85714285714286,0.5714285714285714
BC,Interior,2022-03-11,93.0,61134.0,0.0,362.0,1495.0,13.0,665.0,4.0,95.0,0.5714285714285714
BC,Interior,2022-03-12,0.0,61134.0,0.0,362.0,1495.0,13.0,665.0,4.0,95.0,0.5714285714285714
BC,Interior,2022-03-13,0.0,61134.0,0.0,362.0,1495.0,13.0,665.0,4.0,95.0,0.5714285714285714
BC,Island,2022-03-07,204.0,32125.0,1.0,222.0,1385.0,16.0,547.0,5.0,78.14285714285714,0.7142857142857143
BC,Island,2022-03-08,69.0,32194.0,0.0,222.0,1179.0,11.0,521.0,5.0,74.42857142857143,0.7142857142857143
BC,Island,2022-03-09,77.0,32271.0,5.0,227.0,1116.0,16.0,500.0,10.0,71.42857142857143,1.4285714285714286
BC,Island,2022-03-10,53.0,32324.0,0.0,227.0,1056.0,16.0,468.0,10.0,66.85714285714286,1.4285714285714286
BC,Island,2022-03-11,47.0,32371.0,0.0,227.0,1008.0,15.0,450.0,6.0,64.28571428571429,0.8571428571428571
BC,Island,2022-03-12,0.0,32371.0,0.0,227.0,1008.0,15.0,450.0,6.0,64.28571428571429,0.8571428571428571
BC,Island,2022-03-13,0.0,32371.0,0.0,227.0,1008.0,15.0,450.0,6.0,64.28571428571429,0.8571428571428571
BC,Northern,2022-03-07,79.0,28777.0,1.0,318.0,1024.0,19.0,308.0,5.0,44.0,0.7142857142857143
BC,Northern,2022-03-08,54.0,28831.0,0.0,318.0,878.0,15.0,317.0,5.0,45.285714285714285,0.7142857142857143
BC,Northern,2022-03-09,29.0,28860.0,0.0,318.0,693.0,14.0,287.0,3.0,41.0,0.42857142857142855
BC,Northern,2022-03-10,54.0,28914.0,0.0,318.0,639.0,12.0,266.0,1.0,38.0,0.14285714285714285
BC,Northern,2022-03-11,30.0,28944.0,0.0,318.0,585.0,11.0,246.0,1.0,35.142857142857146,0.14285714285714285
BC,Northern,2022-03-12,0.0,28944.0,0.0,318.0,585.0,11.0,246.0,1.0,35.142857142857146,0.14285714285714285
BC,Northern,2022-03-13,0.0,28944.0,0.0,318.0,585.0,11.0,246.0,1.0,35.142857142857146,0.14285714285714285
BC,Not Reported,2022-03-07,0.0,389.0,0.0,0.0,10.0,0.0,1.0,0.0,0.14285714285714285,0.0
BC,Not Reported,2022-03-08,0.0,389.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
BC,Not Reported,2022-03-09,0.0,389.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BC,Not Reported,2022-03-10,0.0,389.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BC,Not Reported,2022-03-11,0.0,389.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BC,Not Reported,2022-03-12,0.0,389.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BC,Not Reported,2022-03-13,0.0,389.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BC,Vancouver Coastal,2022-03-07,209.0,71296.0,0.0,699.0,873.0,32.0,393.0,9.0,56.142857142857146,1.2857142857142858
BC,Vancouver Coastal,2022-03-08,-35.0,71261.0,0.0,699.0,638.0,15.0,327.0,9.0,46.714285714285715,1.2857142857142858
BC,Vancouver Coastal,2022-03-09,36.0,71297.0,3.0,702.0,622.0,18.0,294.0,8.0,42.0,1.1428571428571428
BC,Vancouver Coastal,2022-03-10,49.0,71346.0,0.0,702.0,607.0,14.0,300.0,4.0,42.857142857142854,0.5714285714285714
BC,Vancouver Coastal,2022-03-11,47.0,71393.0,0.0,702.0,590.0,14.0,306.0,3.0,43.714285714285715,0.42857142857142855
BC,Vancouver Coastal,2022-03-12,0.0,71393.0,0.0,702.0,590.0,14.0,306.0,3.0,43.714285714285715,0.42857142857142855
BC,Vancouver Coastal,2022-03-13,0.0,71393.0,0.0,702.0,590.0,14.0,306.0,3.0,43.714285714285715,0.42857142857142855
Canada,Canada,2022-03-07,9433.0,3344580.0,66.0,36937.0,89238.0,964.0,39030.0,402.0,5575.714285714285,57.42857142857143
Canada,Canada,2022-03-08,4835.0,3349415.0,77.0,37014.0,84184.0,913.0,40544.0,431.0,5792.0,61.57142857142857
Canada,Canada,2022-03-09,7673.0,3357088.0,53.0,37067.0,81614.0,842.0,40130.0,392.0,5732.857142857143,56.0
Canada,Canada,2022-03-10,5910.0,3362998.0,64.0,37131.0,81687.0,838.0,40861.0,392.0,5837.285714285715,56.0
Canada,Canada,2022-03-11,7292.0,3370290.0,-205.0,36926.0,81055.0,553.0,39231.0,111.0,5604.428571428572,15.857142857142858
Canada,Canada,2022-03-12,1364.0,3371654.0,17.0,36943.0,81402.0,561.0,38828.0,96.0,5546.857142857143,13.714285714285714
Canada,Canada,2022-03-13,1120.0,3372774.0,7.0,36950.0,78363.0,501.0,37627.0,79.0,5375.285714285715,11.285714285714286
Manitoba,Interlake-Eastern,2022-03-07,45.0,10825.0,2.0,86.0,389.0,5.0,113.0,2.0,16.142857142857142,0.2857142857142857
Manitoba,Interlake-Eastern,2022-03-08,19.0,10844.0,0.0,86.0,326.0,3.0,114.0,2.0,16.285714285714285,0.2857142857142857
Manitoba,Interlake-Eastern,2022-03-09,24.0,10868.0,0.0,86.0,315.0,2.0,132.0,2.0,18.857142857142858,0.2857142857142857
Manitoba,Interlake-Eastern,2022-03-10,11.0,10879.0,1.0,87.0,297.0,3.0,132.0,3.0,18.857142857142858,0.42857142857142855
Manitoba,Interlake-Eastern,2022-03-11,17.0,10896.0,0.0,87.0,281.0,3.0,116.0,3.0,16.571428571428573,0.42857142857142855
Manitoba,Interlake-Eastern,2022-03-12,0.0,10896.0,0.0,87.0,281.0,3.0,116.0,3.0,16.571428571428573,0.42857142857142855
Manitoba,Interlake-Eastern,2022-03-13,0.0,10896.0,0.0,87.0,281.0,3.0,116.0,3.0,16.571428571428573,0.42857142857142855
Manitoba,Northern,2022-03-07,79.0,17251.0,0.0,78.0,967.0,2.0,289.0,0.0,41.285714285714285,0.0
Manitoba,Northern,2022-03-08,39.0,17290.0,0.0,78.0,791.0,2.0,236.0,0.0,33.714285714285715,0.0
Manitoba,Northern,2022-03-09,46.0,17336.0,0.0,78.0,657.0,1.0,230.0,0.0,32.857142857142854,0.0
Manitoba,Northern,2022-03-10,37.0,17373.0,1.0,79.0,592.0,1.0,233.0,1.0,33.285714285714285,0.14285714285714285
Manitoba,Northern,2022-03-11,73.0,17446.0,0.0,79.0,595.0,1.0,274.0,1.0,39.142857142857146,0.14285714285714285
Manitoba,Northern,2022-03-12,0.0,17446.0,0.0,79.0,595.0,1.0,274.0,1.0,39.142857142857146,0.14285714285714285
Manitoba,Northern,2022-03-13,0.0,17446.0,0.0,79.0,595.0,1.0,274.0,1.0,39.142857142857146,0.14285714285714285
Manitoba,Not Reported,2022-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manitoba,Not Reported,2022-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manitoba,Not Reported,2022-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manitoba,Not Reported,2022-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manitoba,Not Reported,2022-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manitoba,Not Reported,2022-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manitoba,Not Reported,2022-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manitoba,Prairie Mountain,2022-03-07,84.0,13214.0,2.0,147.0,721.0,12.0,212.0,5.0,30.285714285714285,0.7142857142857143
Manitoba,Prairie Mountain,2022-03-08,14.0,13228.0,0.0,147.0,518.0,9.0,199.0,5.0,28.428571428571427,0.7142857142857143
Manitoba,Prairie Mountain,2022-03-09,36.0,13264.0,1.0,148.0,497.0,10.0,203.0,5.0,29.0,0.7142857142857143
Manitoba,Prairie Mountain,2022-03-10,32.0,13296.0,0.0,148.0,462.0,9.0,190.0,4.0,27.142857142857142,0.5714285714285714
Manitoba,Prairie Mountain,2022-03-11,23.0,13319.0,0.0,148.0,417.0,8.0,189.0,3.0,27.0,0.42857142857142855
Manitoba,Prairie Mountain,2022-03-12,0.0,13319.0,0.0,148.0,417.0,8.0,189.0,3.0,27.0,0.42857142857142855
Manitoba,Prairie Mountain,2022-03-13,0.0,13319.0,0.0,148.0,417.0,8.0,189.0,3.0,27.0,0.42857142857142855
Manitoba,Southern Health,2022-03-07,40.0,18662.0,2.0,331.0,309.0,9.0,106.0,3.0,15.142857142857142,0.42857142857142855
Manitoba,Southern Health,2022-03-08,18.0,18680.0,0.0,331.0,256.0,6.0,105.0,3.0,15.0,0.42857142857142855
Manitoba,Southern Health,2022-03-09,22.0,18702.0,0.0,331.0,257.0,5.0,110.0,3.0,15.714285714285714,0.42857142857142855
